Level	Constant
1	80
2	93
3	106
4	120
5	133
6	150
7	166
8	183
9	200
10	216
11	233
12	250
13	267
14	283
15	300
16	317
17	333
18	350
19	367
20	383
21	400
22	417
23	433
24	450
25	467
26	483
27	500
28	517
29	534
30	550
31	567
32	584
33	600
34	617
35	634
36	650
37	667
38	684
39	700
40	717
41	734
42	750
43	767
44	784
45	801
46	816
47	831
48	847
49	862
50	879
51	895
52	912
53	929
54	947
55	964
56	983
57	1001
58	1020
59	1039
60	1059
61	1079
62	1099
63	1120
64	1141
65	1162
66	1184
67	1206
68	1229
69	1252
70	1276
71	1300
72	1324
73	1349
74	1374
75	1400
76	1426
77	1453
78	1481
79	1508
80	1537
81	1566
82	1595
83	1625
84	1656
85	1687
86	1719
87	1751
88	1784
89	1817
90	1852
91	1886
92	1922
93	1958
94	1995
95	2029
96	2067
97	2107
98	2132
99	2150
100	2158
101	2161
102	2175
103	2191
104	2232
105	2273
106	2320
107	2364
108	2409
109	2454
110	2500
111	3177
112	3346
113	3528
114	3723
115	3934
116	4161
117	4406
118	4669
119	4953
120	7765
121	7765
122	7765
123	7765
