Level	Multiplier
0	1
1	1.25
2	1.5
3	1.9
4	2.4
5	3
6	3.75
7	4.75
8	6
9	7.5
10	9.5
11	12
12	15
13	18.75
14	23.5
15	29.5
16	37
17	46.5
18	58
19	73
20	91
21	114
22	143
23	179
24	224
25	250
26	1001
27	1301
28	1701
29	2201
30	2901
31	3801
32	4901
33	6401
34	8301
35	10801
36	14001
37	18201
38	23701
39	30801
40	40001
41	160001
42	208001
43	270401
44	351501
45	457001
46	594001
47	772501
48	1004001
49	1305001
50	1696501
51	2205501
52	2867501
53	3727501
54	4846001
55	6300001
56	6300001
57	6300001
58	6300001
59	6300001
60	6300001
61	6300001
62	6300001
63	6300001
64	6300001
65	6300001
66	6300001
67	6300001
68	6300001
69	6300001
70	6300001
71	6300001
72	6300001
73	6300001
74	6300001
75	6300001
76	6300001
77	6300001
78	6300001
79	6300001
80	6300001
81	6300001
82	6300001
83	6300001
84	6300001
85	6300001
86	6300001
87	6300001
88	6300001
89	6300001
90	6300001
91	6300001
92	6300001
93	6300001
94	6300001
95	6300001
96	6300001
97	6300001
98	6300001
99	6300001
100	6300001
101	6300001
102	6300001
103	6300001
104	6300001
105	6300001
106	6300001
107	6300001
108	6300001
109	6300001
110	6300001
111	6300001
112	6300001
113	6300001
114	6300001
115	6300001
116	6300001
117	6300001
118	6300001
119	6300001
120	6300001
121	6300001
122	6300001
123	6300001
124	6300001
125	6300001
126	6300001
127	6300001
128	6300001
129	6300001
130	6300001
131	6300001
132	6300001
133	6300001
134	6300001
135	6300001
136	6300001
137	6300001
138	6300001
139	6300001
140	6300001
141	6300001
142	6300001
143	6300001
144	6300001
145	6300001
146	6300001
147	6300001
148	6300001
149	6300001
150	6300001
151	6300001
152	6300001
153	6300001
154	6300001
155	6300001
156	6300001
157	6300001
158	6300001
159	6300001
160	6300001
161	6300001
162	6300001
163	6300001
164	6300001
165	6300001
166	6300001
167	6300001
168	6300001
169	6300001
170	6300001
171	6300001
172	6300001
173	6300001
174	6300001
175	6300001
176	6300001
177	6300001
178	6300001
179	6300001
180	6300001
181	6300001
182	6300001
183	6300001
184	6300001
185	6300001
186	6300001
187	6300001
188	6300001
189	6300001
190	6300001
191	6300001
192	6300001
193	6300001
194	6300001
195	6300001
196	6300001
197	6300001
198	6300001
199	6300001
200	6300001
201	6300001
202	6300001
203	6300001
204	6300001
205	6300001
206	6300001
207	6300001
208	6300001
209	6300001
210	6300001
211	6300001
212	6300001
213	6300001
214	6300001
215	6300001
216	6300001
217	6300001
218	6300001
219	6300001
220	6300001
221	6300001
222	6300001
223	6300001
224	6300001
225	6300001
226	6300001
227	6300001
228	6300001
229	6300001
230	6300001
231	6300001
232	6300001
233	6300001
234	6300001
235	6300001
236	6300001
237	6300001
238	6300001
239	6300001
240	6300001
241	6300001
242	6300001
243	6300001
244	6300001
245	6300001
246	6300001
247	6300001
248	6300001
249	6300001
250	6300001
251	6300001
252	6300001
253	6300001
254	6300001
255	6300001
