Level	XP	XP2
1	100	100
2	300	300
3	325	325
4	350	350
5	375	375
6	400	400
7	425	425
8	450	450
9	525	525
10	625	625
11	750	750
12	875	875
13	1000	1000
14	6840	6840
15	8830	8830
16	11280	11280
17	14400	14400
18	18620	18620
19	24000	24000
20	30600	30600
21	39520	39520
22	50880	50880
23	64800	64800
24	82500	82500
25	105280	105280
26	138650	138650
27	182780	182780
28	240870	240870
29	315520	315520
30	417560	417560
31	546000	546000
32	718200	718200
33	946660	946660
34	1245840	1245840
35	1635200	1635200
36	1915000	1915000
37	2010000	10000000
38	2110000	13000000
39	2215000	17000000
40	2325000	22000000
41	2440000	29000000
42	2560000	38000000
43	2690000	49000000
44	2825000	64000000
45	2965000	83000000
46	3115000	108000000
47	3270000	140000000
48	3435000	182000000
49	3605000	237000000
50	3785000	308000000
51	3975000	400000000
52	4175000	520000000
53	4385000	676000000
54	4605000	880000000
55	4835000	1144000000
56	5075000	1488000000
57	6000000	1936000000
58	6000000	2516000000
59	6000000	3272000000
60	6000000	4252000000
61	6000000	5528000000
62	6000000	7188000000
63	6000000	9344000000
64	6000000	12148000000
65	6000000	15792000000
66	6000000	20528000000
67	6000000	26688000000
68	6000000	34696000000
69	6000000	45104000000
70	6000000	58636000000
71	6000000	76228000000
72	6000000	99096000000
73	6000000	1.28824E+11
74	6000000	1.67472E+11
75	6000000	2.17712E+11
76	6000000	2.83024E+11
77	6000000	3.67932E+11
78	6000000	4.78312E+11
79	6000000	6.22E+11
80	6000000	8.08E+11
81	6000000	1.05E+12
82	6000000	1.37E+12
83	6000000	1.78E+12
84	6000000	2.31E+12
85	6000000	3.00E+12
86	6000000	3.90E+12
87	6000000	5.07E+12
88	6000000	6.59E+12
89	6000000	8.57E+12
90	6000000	1.11E+13
91	6000000	1.45E+13
92	6000000	1.88E+13
93	6000000	2.45E+13
94	6000000	3.18E+13
95	6000000	4.14E+13
96	6000000	5.38E+13
97	6000000	6.99E+13
98	6000000	9.09E+13
99	6000000	1.18E+14
100	6000000	1.54E+14
101	6000000	2.00E+14
102	6000000	2.60E+14
103	6000000	3.38E+14
104	6000000	4.39E+14
105	6000000	5.70E+14
106	6000000	7.42E+14
107	6000000	9.64E+14
108	6000000	1.25E+15
109	6000000	1.63E+15
110	6000000	2.12E+15
111	6000000	2.75E+15
112	6000000	3.58E+15
113	6000000	4.65E+15
114	6000000	6.05E+15
115	6000000	7.86E+15
116	6000000	1.02E+16
117	6000000	1.33E+16
118	6000000	1.73E+16
119	6000000	2.25E+16
120	6000000	2.92E+16
121	6000000	3.80E+16
122	6000000	4.93E+16
123	6000000	6.41E+16
