Azerite Level	Base Experience To Next Level	Minimum Experience To Next Level
1	300	300
2	350	350
3	400	400
4	450	450
5	500	500
6	550	550
7	600	600
8	650	650
9	700	700
10	1000	1000
11	1000	1000
12	1000	1000
13	1000	1000
14	1000	1000
15	1000	1000
16	1000	1000
17	1000	1000
18	1000	1000
19	1000	1000
20	1000	1000
21	1000	1000
22	1000	1000
23	1000	1000
24	1000	1000
25	1000	1000
26	1000	1000
27	1000	1000
28	1000	1000
29	1000	1000
30	1000	1000
31	1000	1000
32	1000	1000
33	1000	1000
34	1000	1000
35	1000	1000
36	1000	1000
37	1270	1000
38	1660	1000
39	2150	1000
40	2800	1000
41	3640	1000
42	4730	1000
43	6140	1000
44	7990	1000
45	10380	1000
46	13500	1000
47	17550	1000
48	22820	1000
49	29660	1000
50	38560	1000
51	85210	1000
52	127820	1000
53	191730	1000
54	287600	1000
55	431400	1000
56	647100	1000
57	970650	1000
58	1455980	1000
59	2183970	1000
60	3275950	1000
61	4913920	1000
62	7370880	1000
63	11056320	1000
64	16584490	1000
65	24876730	1000
66	37315090	1000
67	55972640	1000
68	83958960	1000
69	125938430	1000
70	188907650	1000
71	1.92E+10	1000
72	2.50E+10	1000
73	3.24E+10	1000
74	4.22E+10	1000
75	5.48E+10	1000
76	7.13E+10	1000
77	9.27E+10	1000
78	1.20E+11	1000
79	1.57E+11	1000
80	2.04E+11	1000
81	2.65E+11	1000
82	3.44E+11	1000
83	4.47E+11	1000
84	5.81E+11	1000
85	7.56E+11	1000
86	9.83E+11	1000
87	1.28E+12	1000
88	1.66E+12	1000
89	2.16E+12	1000
90	2.81E+12	1000
91	3.65E+12	1000
92	4.74E+12	1000
93	6.17E+12	1000
94	8.02E+12	1000
95	1.04E+13	1000
96	1.35E+13	1000
97	1.76E+13	1000
98	2.29E+13	1000
99	2.98E+13	1000
100	3.87E+13	1000
101	5.03E+13	1000
102	6.54E+13	1000
103	8.50E+13	1000
104	1.11E+14	1000
105	1.44E+14	1000
106	1.87E+14	1000
107	2.43E+14	1000
108	3.16E+14	1000
109	4.10E+14	1000
110	5.33E+14	1000
111	6.93E+14	1000
112	9.01E+14	1000
113	1.17E+15	1000
114	1.52E+15	1000
115	1.98E+15	1000
116	2.57E+15	1000
117	3.35E+15	1000
118	4.35E+15	1000
119	5.66E+15	1000
120	7.35E+15	1000
121	9.56E+15	1000
122	1.24E+16	1000
123	1.62E+16	1000
