Azerite Level	Item Level
1	280
2	282
3	284
4	286
5	288
6	290
7	292
8	294
9	296
10	298
11	300
12	302
13	304
14	306
15	308
16	310
17	312
18	314
19	316
20	318
21	320
22	322
23	324
24	326
25	328
26	330
27	332
28	334
29	336
30	338
31	340
32	342
33	344
34	346
35	348
36	350
37	352
38	354
39	356
40	358
41	360
42	362
43	364
44	366
45	368
46	370
47	372
48	374
49	376
50	378
51	380
52	382
53	384
54	386
55	388
56	390
57	392
58	394
59	396
60	398
61	400
62	402
63	404
64	406
65	408
66	410
67	412
68	414
69	416
70	418
71	420
72	422
73	424
74	426
75	428
76	430
77	432
78	434
79	436
80	438
81	440
82	442
83	444
84	446
85	448
86	450
87	452
88	454
89	456
90	458
91	460
92	462
93	464
94	466
95	468
96	470
97	472
98	474
99	476
100	478
101	480
102	482
103	484
104	486
105	488
106	490
107	492
108	494
109	496
110	498
111	500
112	502
113	504
114	506
115	508
116	510
117	512
118	514
119	516
120	518
121	520
122	522
123	524
124	526
125	528
126	530
127	532
128	534
129	536
130	538
131	540
132	542
133	544
134	546
135	548
136	550
137	552
138	554
139	556
140	558
141	560
142	562
143	564
144	566
145	568
146	570
147	572
148	574
149	576
150	578
151	580
152	582
153	584
154	586
155	588
156	590
157	592
158	594
159	596
160	598
161	600
162	602
163	604
164	606
165	608
166	610
167	612
168	614
169	616
170	618
171	620
172	622
173	624
174	626
175	628
176	630
177	632
178	634
179	636
180	638
181	640
182	642
183	644
184	646
185	648
186	650
187	652
188	654
189	656
190	658
191	660
192	662
193	664
194	666
195	668
196	670
197	672
198	674
199	676
200	678
201	680
202	682
203	684
204	686
205	688
206	690
207	692
208	694
209	696
210	698
211	700
212	702
213	704
214	706
215	708
216	710
217	712
218	714
219	716
220	718
221	720
222	722
223	724
224	726
225	728
226	730
227	732
228	734
229	736
230	738
231	740
232	742
233	744
234	746
235	748
236	750
237	752
238	754
239	756
240	758
241	760
242	762
243	764
244	766
245	768
246	770
247	772
248	774
249	776
250	778
251	780
252	782
253	784
254	786
255	788
256	790
257	792
258	794
259	796
260	798
261	800
262	802
263	804
264	806
265	808
266	810
267	812
268	814
269	816
270	818
271	820
272	822
273	824
274	826
275	828
276	830
277	832
278	834
279	836
280	838
281	840
282	842
283	844
284	846
285	848
286	850
287	852
288	854
289	856
290	858
291	860
292	862
293	864
294	866
295	868
296	870
297	872
298	874
299	876
300	878
