Level	Cost-1
1	0
2	3
3	4
4	4
5	4
6	6
7	12
8	23
9	40
10	65
11	100
12	146
13	204
14	276
15	364
16	469
17	592
18	735
19	900
20	1088
21	1300
22	1538
23	1804
24	2099
25	2424
26	2781
27	3172
28	3598
29	4060
30	4560
31	5100
32	5681
33	6304
34	6971
35	7684
36	8444
37	9252
38	10110
39	11020
40	11983
41	13000
42	14073
43	15204
44	16394
45	17644
46	18956
47	20332
48	21773
49	23280
50	24855
51	26500
52	28216
53	30004
54	31866
55	33804
56	35819
57	37912
58	40085
59	42340
60	44678
61	47100
62	49608
63	52204
64	54889
65	57664
66	60531
67	63492
68	66548
69	69700
70	72950
71	76300
72	79751
73	83304
74	86961
75	90724
76	94594
77	98572
78	102660
79	106860
80	111173
81	115600
82	120143
83	124804
84	129584
85	134484
86	139506
87	144652
88	149923
89	155320
90	160845
91	166500
92	172286
93	178204
94	184256
95	190444
96	196769
97	203232
98	209835
99	216580
100	223468
101	230500
102	237678
103	245004
104	252479
105	260104
106	267881
107	275812
108	283898
109	292140
110	300540
111	309100
112	317821
113	326704
114	335751
115	344964
116	354344
117	363892
118	373610
119	383500
120	393563
121	403800
122	414213
123	424804
