Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer
1	0	260	0	260	260	260	260	260	0	0	260	0	260	0
2	0	270	0	270	270	270	270	270	0	0	270	0	270	0
3	0	285	0	285	285	285	285	285	0	0	285	0	285	0
4	0	300	0	300	300	300	300	300	0	0	300	0	300	0
5	0	310	0	310	310	310	310	310	0	0	310	0	310	0
6	0	330	0	330	330	330	330	330	0	0	330	0	330	0
7	0	345	0	345	345	345	345	345	0	0	345	0	345	0
8	0	360	0	360	360	360	360	360	0	0	360	0	360	0
9	0	380	0	380	380	380	380	380	0	0	380	0	380	0
10	0	400	0	400	400	400	400	400	0	0	400	0	400	0
11	0	430	0	430	430	430	430	430	0	0	430	0	430	0
12	0	465	0	465	465	465	465	465	0	0	465	0	465	0
13	0	505	0	505	505	505	505	505	0	0	505	0	505	0
14	0	550	0	550	550	550	550	550	0	0	550	0	550	0
15	0	595	0	595	595	595	595	595	0	0	595	0	595	0
16	0	645	0	645	645	645	645	645	0	0	645	0	645	0
17	0	700	0	700	700	700	700	700	0	0	700	0	700	0
18	0	760	0	760	760	760	760	760	0	0	760	0	760	0
19	0	825	0	825	825	825	825	825	0	0	825	0	825	0
20	0	890	0	890	890	890	890	890	0	0	890	0	890	0
21	0	965	0	965	965	965	965	965	0	0	965	0	965	0
22	0	1050	0	1050	1050	1050	1050	1050	0	0	1050	0	1050	0
23	0	1135	0	1135	1135	1135	1135	1135	0	0	1135	0	1135	0
24	0	1230	0	1230	1230	1230	1230	1230	0	0	1230	0	1230	0
25	0	1335	0	1335	1335	1335	1335	1335	0	0	1335	0	1335	0
26	0	1445	0	1445	1445	1445	1445	1445	0	0	1445	0	1445	0
27	0	1570	0	1570	1570	1570	1570	1570	0	0	1570	0	1570	0
28	0	1700	0	1700	1700	1700	1700	1700	0	0	1700	0	1700	0
29	0	1845	0	1845	1845	1845	1845	1845	0	0	1845	0	1845	0
30	0	2000	0	2000	2000	2000	2000	2000	0	0	2000	0	2000	0
31	0	2165	0	2165	2165	2165	2165	2165	0	0	2165	0	2165	0
32	0	2345	0	2345	2345	2345	2345	2345	0	0	2345	0	2345	0
33	0	2545	0	2545	2545	2545	2545	2545	0	0	2545	0	2545	0
34	0	2755	0	2755	2755	2755	2755	2755	0	0	2755	0	2755	0
35	0	2990	0	2990	2990	2990	2990	2990	0	0	2990	0	2990	0
36	0	3240	0	3240	3240	3240	3240	3240	0	0	3240	0	3240	0
37	0	3510	0	3510	3510	3510	3510	3510	0	0	3510	0	3510	0
38	0	3805	0	3805	3805	3805	3805	3805	0	0	3805	0	3805	0
39	0	4125	0	4125	4125	4125	4125	4125	0	0	4125	0	4125	0
40	0	4470	0	4470	4470	4470	4470	4470	0	0	4470	0	4470	0
41	0	4845	0	4845	4845	4845	4845	4845	0	0	4845	0	4845	0
42	0	5250	0	5250	5250	5250	5250	5250	0	0	5250	0	5250	0
43	0	5690	0	5690	5690	5690	5690	5690	0	0	5690	0	5690	0
44	0	6170	0	6170	6170	6170	6170	6170	0	0	6170	0	6170	0
45	0	6685	0	6685	6685	6685	6685	6685	0	0	6685	0	6685	0
46	0	7245	0	7245	7245	7245	7245	7245	0	0	7245	0	7245	0
47	0	7855	0	7855	7855	7855	7855	7855	0	0	7855	0	7855	0
48	0	8510	0	8510	8510	8510	8510	8510	0	0	8510	0	8510	0
49	0	9225	0	9225	9225	9225	9225	9225	0	0	9225	0	9225	0
50	0	10000	0	10000	10000	10000	10000	10000	0	0	10000	0	10000	0
51	0	11745	0	11745	11745	11745	11745	11745	0	0	11745	0	11745	0
52	0	13795	0	13795	13795	13795	13795	13795	0	0	13795	0	13795	0
53	0	16205	0	16205	16205	16205	16205	16205	0	0	16205	0	16205	0
54	0	19035	0	19035	19035	19035	19035	19035	0	0	19035	0	19035	0
55	0	22360	0	22360	22360	22360	22360	22360	0	0	22360	0	22360	0
56	0	26265	0	26265	26265	26265	26265	26265	0	0	26265	0	26265	0
57	0	30850	0	30850	30850	30850	30850	30850	0	0	30850	0	30850	0
58	0	36235	0	36235	36235	36235	36235	36235	0	0	36235	0	36235	0
59	0	42565	0	42565	42565	42565	42565	42565	0	0	42565	0	42565	0
60	0	50000	0	50000	50000	50000	50000	50000	0	0	50000	0	50000	0
61	0	58730	0	58730	58730	58730	58730	58730	0	0	58730	0	58730	0
62	0	68985	0	68985	68985	68985	68985	68985	0	0	68985	0	68985	0
63	0	81030	0	81030	81030	81030	81030	81030	0	0	81030	0	81030	0
64	0	95180	0	95180	95180	95180	95180	95180	0	0	95180	0	95180	0
65	0	111800	0	111800	111800	111800	111800	111800	0	0	111800	0	111800	0
66	0	131325	0	131325	131325	131325	131325	131325	0	0	131325	0	131325	0
67	0	154255	0	154255	154255	154255	154255	154255	0	0	154255	0	154255	0
68	0	181190	0	181190	181190	181190	181190	181190	0	0	181190	0	181190	0
69	0	212830	0	212830	212830	212830	212830	212830	0	0	212830	0	212830	0
70	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
71	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
72	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
73	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
74	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
75	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
76	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
