LEVEL	wins	xp
1	1	50
2	2	55
3	2	60
4	3	65
5	4	70
6	6	75
7	7	80
8	7	85
9	8	90
10	8	95
11	9	100
12	9	105
13	9	110
14	10	115
15	10	120
16	10	125
17	11	130
18	11	135
19	11	140
20	11	145
21	12	150
22	12	155
23	12	160
24	12	165
25	12	170
26	40	175
27	40	180
28	40	185
29	40	190
30	45	195
31	45	200
32	45	205
33	45	210
34	45	215
35	45	220
36	45	225
37	45	230
38	45	235
39	50	240
40	50	245
41	50	250
42	50	255
43	50	260
44	50	265
45	50	270
46	50	275
47	50	280
48	50	285
49	50	290
50	50	295
51	50	300
52	55	305
53	55	310
54	55	315
55	55	320
56	55	325
57	55	330
58	55	335
59	55	340
60	55	345
61	55	350
62	55	355
63	55	360
64	55	365
65	55	370
66	60	375
67	60	380
68	60	385
69	60	390
70	60	395
71	60	400
72	60	405
73	60	410
74	60	415
75	60	420
76	60	425
77	60	430
78	60	435
79	60	440
80	60	445
81	65	450
82	65	455
83	65	460
84	65	465
85	65	470
86	65	475
87	65	480
88	65	485
89	65	490
90	65	495
91	65	500
92	65	505
93	65	510
94	65	515
95	65	520
96	65	525
97	65	530
98	65	535
99	65	540
100	65	545
101	65	550
102	65	555
103	65	560
104	65	565
105	65	570
106	65	575
107	65	580
108	65	585
109	65	590
110	65	595
111	65	600
112	65	605
113	65	610
114	65	615
115	65	620
116	65	625
117	65	630
118	65	635
119	65	640
120	65	645
121	65	650
122	65	655
123	65	660
