ChallengeLevel	Scalar
1	1.00000
2	1.00000
3	1.08000
4	1.16640
5	1.25971
6	1.36049
7	1.46933
8	1.58687
9	1.71382
10	1.85093
11	2.03602
12	2.23963
13	2.46359
14	2.70995
15	2.98094
16	3.27904
17	3.60694
18	3.96763
19	4.36440
20	4.80084
21	5.28092
22	5.80901
23	6.38991
24	7.02890
25	7.73179
26	8.50497
27	9.35547
28	10.29102
29	11.32012
30	12.45213
31	13.69735
32	15.06708
33	16.57379
34	18.23117
35	20.05428
36	22.05971
37	24.26568
38	26.69225
39	29.36148
40	32.29763
41	35.52739
42	39.08013
43	42.98814
44	47.28695
45	52.01565
46	57.21721
47	62.93894
48	69.23283
49	76.15611
50	83.77172
