Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
2	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
3	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
4	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
5	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
6	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
7	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
8	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
9	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
10	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
11	0	0.330639739	3.061479063	3.061479063	1.377665578	1.515432136	1.515432136	1.515432136	2.755331157	2.755331157	2.755331157	1	1	0.765369766	0	1.377665578	2.265494507	2.602257204	2.602257204	2.602257204	1.102132463	0.275533116	0	1.515432136	0	2.755331157	1.212345709	0	3.13801604	3.13801604	6.276032079	0
12	0	0.347171726	3.214553016	3.214553016	1.446548857	1.591203743	1.591203743	1.591203743	2.893097715	2.893097715	2.893097715	1	1	0.803638254	0	1.446548857	2.378769232	2.732370064	2.732370064	2.732370064	1.157239086	0.289309771	0	1.591203743	0	2.893097715	1.272962994	0	3.294916842	3.294916842	6.589833683	0
13	0	0.363703713	3.367626969	3.367626969	1.515432136	1.66697535	1.66697535	1.66697535	3.030864272	3.030864272	3.030864272	1	1	0.841906742	0	1.515432136	2.492043957	2.862482924	2.862482924	2.862482924	1.212345709	0.303086427	0	1.66697535	0	3.030864272	1.33358028	0	3.451817644	3.451817644	6.903635287	0
14	0	0.3802357	3.520700923	3.520700923	1.584315415	1.742746957	1.742746957	1.742746957	3.16863083	3.16863083	3.16863083	1	1	0.880175231	0	1.584315415	2.605318683	2.992595784	2.992595784	2.992595784	1.267452332	0.316863083	0	1.742746957	0	3.16863083	1.394197565	0	3.608718446	3.608718446	7.217436891	0
15	0	0.396767687	3.673774876	3.673774876	1.653198694	1.818518563	1.818518563	1.818518563	3.306397388	3.306397388	3.306397388	1	1	0.918443719	0	1.653198694	2.718593408	3.122708644	3.122708644	3.122708644	1.322558955	0.330639739	0	1.818518563	0	3.306397388	1.454814851	0	3.765619248	3.765619248	7.531238495	0
16	0	0.413299674	3.826848829	3.826848829	1.722081973	1.89429017	1.89429017	1.89429017	3.444163946	3.444163946	3.444163946	1	1	0.956712207	0	1.722081973	2.831868133	3.252821504	3.252821504	3.252821504	1.377665578	0.344416395	0	1.89429017	0	3.444163946	1.515432136	0	3.92252005	3.92252005	7.845040099	0
17	0	0.42983166	3.979922782	3.979922782	1.790965252	1.970061777	1.970061777	1.970061777	3.581930504	3.581930504	3.581930504	1	1	0.994980695	0	1.790965252	2.945142859	3.382934365	3.382934365	3.382934365	1.432772202	0.35819305	0	1.970061777	0	3.581930504	1.576049422	0	4.079420852	4.079420852	8.158841703	0
18	0	0.446363647	4.132996735	4.132996735	1.859848531	2.045833384	2.045833384	2.045833384	3.719697062	3.719697062	3.719697062	1	1	1.033249184	0	1.859848531	3.058417584	3.513047225	3.513047225	3.513047225	1.487878825	0.371969706	0	2.045833384	0	3.719697062	1.636666707	0	4.236321654	4.236321654	8.472643307	0
19	0	0.462895634	4.286070688	4.286070688	1.92873181	2.121604991	2.121604991	2.121604991	3.857463619	3.857463619	3.857463619	1	1	1.071517672	0	1.92873181	3.171692309	3.643160085	3.643160085	3.643160085	1.542985448	0.385746362	0	2.121604991	0	3.857463619	1.697283993	0	4.393222455	4.393222455	8.786444911	0
20	0	0.479427621	4.439144641	4.439144641	1.997615089	2.197376598	2.197376598	2.197376598	3.995230177	3.995230177	3.995230177	1	1	1.10978616	0	1.997615089	3.284967035	3.773272945	3.773272945	3.773272945	1.598092071	0.399523018	0	2.197376598	0	3.995230177	1.757901278	0	4.550123257	4.550123257	9.100246515	0
