Level	Prestige0	Prestige1	Prestige2	Prestige3	Prestige4	Prestige5	Prestige6	Prestige7	Prestige8	Prestige9	Prestige10	Prestige11	Prestige12	Prestige13	Prestige14	Prestige15	Prestige16	Prestige17	Prestige18	Prestige19	Prestige20	Prestige21	Prestige22	Prestige23	Prestige24	Prestige25	Prestige26	Prestige27	Prestige28	Prestige29	Prestige30	Prestige31	Prestige32
1	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
2	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
3	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
4	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
5	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
6	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
7	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
8	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
9	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
10	350	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800
11	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
12	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
13	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
14	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
15	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
16	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
17	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
18	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
19	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
20	400	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850
21	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
22	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
23	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
24	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
25	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
26	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
27	450	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900
