Level	Health
1	4
2	4
3	4
4	4
5	4
6	4
7	4
8	4
9	4
10	4
11	4
12	5
13	5
14	6
15	6
16	6
17	7
18	7
19	7
20	8
21	8
22	8
23	9
24	9
25	10
26	10
27	12
28	12
29	12
30	13
31	13
32	13
33	13
34	13
35	14
36	14
37	14
38	14
39	15
40	15
41	15
42	15
43	15
44	16
45	16
46	16
47	16
48	17
49	17
50	17
51	17
52	18
53	18
54	19
55	19
56	19
57	19
58	20
59	20
60	20
61	20
62	20
63	20
64	20
65	20
66	20
67	20
68	20
69	20
70	20
71	20
72	20
73	20
74	20
75	20
76	20
77	20
78	20
79	20
80	20
81	20
82	20
83	20
84	20
85	20
86	20
87	20
88	20
89	20
90	20
91	20
92	20
93	20
94	20
95	20
96	20
97	20
98	20
99	20
100	20
101	20
102	20
103	20
104	20
105	20
106	20
107	20
108	20
109	20
110	20
111	20
112	20
113	20
114	20
115	20
116	20
117	20
118	20
119	20
120	20
121	20
122	20
123	20
