Level	Item Level
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	9
9	11
10	13
11	16
12	20
13	23
14	26
15	28
16	31
17	34
18	36
19	39
20	41
21	44
22	46
23	49
24	52
25	54
26	57
27	60
28	63
29	66
30	69
31	72
32	75
33	78
34	81
35	84
36	87
37	90
38	94
39	97
40	100
41	104
42	107
43	110
44	114
45	117
46	121
47	124
48	128
49	132
50	135
51	139
52	143
53	147
54	150
55	154
56	158
57	162
58	166
59	170
60	174
61	220
62	234
63	248
64	262
65	276
66	290
67	304
68	318
69	332
70	342
71	342
72	342
73	342
74	342
75	342
76	342
77	342
78	342
79	342
80	342
81	342
82	342
83	342
84	342
85	342
86	342
87	342
88	342
89	342
90	342
91	342
92	342
93	342
94	342
95	342
96	342
97	342
98	342
99	342
100	342
101	342
102	342
103	342
104	342
105	342
106	342
107	342
108	342
109	342
110	342
111	342
112	342
113	342
114	342
115	342
116	342
117	342
118	342
119	342
120	342
121	342
122	342
123	342
