Item Level	Item Level
1	1
2	1
3	2
4	2
5	2
6	3
7	3
8	4
9	4
10	5
11	5
12	6
13	6
14	7
15	8
16	9
17	10
18	11
19	11
20	12
21	13
22	14
23	14
24	15
25	16
26	16
27	17
28	18
29	18
30	18
31	19
32	19
33	19
34	20
35	20
36	21
37	21
38	21
39	22
40	22
41	22
42	23
43	23
44	24
45	24
46	24
47	25
48	25
49	25
50	26
51	26
52	27
53	27
54	27
55	28
56	28
57	28
58	29
59	29
60	30
61	30
62	30
63	30
64	30
65	30
66	30
67	30
68	31
69	31
70	31
71	31
72	31
73	31
74	31
75	31
76	32
77	32
78	32
79	32
80	32
81	32
82	32
83	32
84	33
85	33
86	33
87	33
88	33
89	33
90	33
91	33
92	34
93	34
94	34
95	34
96	34
97	34
98	34
99	34
100	35
101	35
102	35
103	35
104	36
105	36
106	36
107	36
108	37
109	37
110	37
111	37
112	38
113	38
114	38
115	38
116	39
117	39
118	39
119	39
120	40
121	40
122	40
123	40
124	41
125	41
126	41
127	41
128	42
129	42
130	42
131	42
132	43
133	43
134	43
135	43
136	44
137	44
138	44
139	44
140	45
141	45
142	45
143	45
144	46
145	46
146	46
147	46
148	47
149	47
150	47
151	47
152	48
153	48
154	48
155	48
156	49
157	49
158	49
159	49
160	50
161	50
162	50
163	50
164	50
165	50
166	50
167	50
168	50
169	50
170	50
171	50
172	50
173	50
174	50
175	50
176	50
177	50
178	50
179	50
180	50
181	50
182	50
183	50
184	50
185	50
186	50
187	50
188	50
189	50
190	50
191	50
192	50
193	50
194	50
195	50
196	50
197	50
198	50
199	50
200	50
201	50
202	50
203	50
204	50
205	50
206	50
207	50
208	50
209	50
210	50
211	50
212	50
213	50
214	50
215	50
216	50
217	51
218	51
219	51
220	51
221	51
222	51
223	51
224	51
225	52
226	52
227	52
228	52
229	52
230	52
231	52
232	52
233	52
234	52
235	53
236	53
237	53
238	53
239	53
240	53
241	53
242	53
243	53
244	53
245	54
246	54
247	54
248	54
249	54
250	54
251	54
252	54
253	54
254	54
255	55
256	55
257	55
258	55
259	55
260	55
261	55
262	55
263	55
264	55
265	56
266	56
267	56
268	56
269	56
270	57
271	57
272	57
273	57
274	57
275	57
276	57
277	57
278	57
279	58
280	58
281	58
282	58
283	58
284	58
285	58
286	58
287	58
288	58
289	58
290	58
291	58
292	58
293	58
294	58
295	59
296	59
297	59
298	59
299	59
300	59
301	59
302	59
303	59
304	59
305	59
306	59
307	59
308	59
309	59
310	60
311	60
312	60
313	60
314	60
315	60
316	60
317	60
318	60
319	60
320	60
321	60
322	60
323	60
324	60
325	60
326	60
327	60
328	60
329	60
330	60
331	60
332	60
333	60
334	60
335	60
336	60
337	60
338	60
339	60
340	60
341	60
342	60
343	60
344	60
345	60
346	60
347	60
348	60
349	60
350	60
351	60
352	60
353	60
354	60
355	60
356	60
357	60
358	60
359	60
360	60
361	60
362	60
363	60
364	60
365	60
366	60
367	60
368	60
369	60
370	60
371	61
372	61
373	62
374	62
375	62
376	63
377	63
378	64
379	64
380	64
381	65
382	65
383	66
384	66
385	66
386	67
387	67
388	68
389	68
390	68
391	69
392	69
393	70
394	70
395	70
396	71
397	71
398	72
399	72
400	72
401	73
402	73
403	74
404	74
405	74
406	75
407	75
408	76
409	76
410	76
411	77
412	77
413	78
414	78
415	78
416	79
417	79
418	80
419	80
420	80
421	81
422	81
423	82
424	82
425	82
426	83
427	83
428	84
429	84
430	85
431	86
432	87
433	88
434	89
435	90
436	91
437	92
438	93
439	94
440	95
441	96
442	97
443	98
444	99
445	100
446	101
447	102
448	103
449	104
450	105
451	106
452	107
453	108
454	109
455	110
456	111
457	112
458	113
459	114
460	115
461	116
462	117
463	118
464	119
465	120
466	121
467	122
468	123
469	124
470	125
471	126
472	127
473	128
474	129
475	130
476	131
477	132
478	133
479	134
480	135
481	136
482	137
483	138
484	139
485	140
486	141
487	142
488	143
489	144
490	145
491	146
492	147
493	148
494	149
495	150
496	151
497	152
498	153
499	154
500	155
501	156
502	157
503	158
504	159
505	160
506	161
507	162
508	163
509	164
510	165
511	166
512	167
513	168
514	169
515	170
516	171
517	172
518	173
519	174
520	175
521	176
522	177
523	178
524	179
525	180
526	181
527	182
528	183
529	184
530	185
531	186
532	187
533	188
534	189
535	190
536	191
537	192
538	193
539	194
540	195
541	196
542	197
543	198
544	199
545	200
546	201
547	202
548	203
549	204
550	205
551	206
552	207
553	208
554	209
555	210
556	211
557	212
558	213
559	214
560	215
561	216
562	217
563	218
564	219
565	220
566	221
567	222
568	223
569	224
570	225
571	226
572	227
573	228
574	229
575	230
576	231
577	232
578	233
579	234
580	235
581	236
582	237
583	238
584	239
585	240
586	241
587	242
588	243
589	244
590	245
591	246
592	247
593	248
594	249
595	250
596	251
597	252
598	253
599	254
600	255
