Level	Scaler
1	0.193
2	0.216
3	0.264
4	0.31
5	0.31
6	0.395
7	0.436
8	0.475
9	0.514
10	0.552
11	0.588
12	0.625
13	0.661
14	0.696
15	0.766
16	0.8
17	0.835
18	0.885
19	0.919
20	1
21	1.034
22	1.067
23	1.101
24	1.165
25	1.229
26	1.278
27	1.328
28	1.405
29	1.522
30	1.612
31	1.662
32	1.752
33	1.805
34	1.858
35	1.964
36	2.032
37	2.126
38	2.196
39	2.292
40	2.351
41	2.446
42	2.506
43	2.626
44	2.686
45	2.782
46	2.854
47	2.95
48	3.012
49	3.074
50	3.195
51	3.269
52	3.378
53	3.475
54	3.583
55	3.658
56	3.788
57	3.863
58	3.972
59	4.048
60	4.167
61	4.266
62	4.4
63	4.514
64	4.662
65	4.768
66	4.908
67	5.016
68	5.169
69	5.292
70	5.437
71	5.593
72	5.709
73	5.858
74	5.998
75	6.15
76	6.282
77	6.415
78	6.594
79	6.762
80	6.899
81	7.082
82	7.222
83	7.376
84	7.552
85	7.697
86	7.876
87	8.024
88	8.196
89	8.347
90	8.533
91	8.741
92	8.898
93	9.055
94	9.215
95	9.408
96	9.572
97	9.736
98	9.902
99	10.091
100	10.293
101	10.293
102	10.293
103	10.293
104	10.293
105	10.293
106	10.293
107	10.293
108	10.293
109	10.293
110	10.293
111	10.293
112	10.293
113	10.293
114	10.293
115	10.293
116	10.293
117	10.293
118	10.293
119	10.293
120	10.293
121	10.293
122	10.293
123	10.293
