Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	2.128743122	1	1	1.969087388	2.128743122	1	1	1	2.128743122	1	1	1
2	2.341617434	1	1	2.165996127	2.341617434	1	1	1	2.341617434	1	1	1
3	2.554491747	1	1	2.362904866	2.554491747	1	1	1	2.554491747	1	1	1
4	2.767366059	1	1	2.559813604	2.767366059	1	1	1	2.767366059	1	1	1
5	2.997049988	1	1	2.772271238	2.997049988	1	1	1	2.997049988	1	1	1
6	3.322818515	1	1	3.073607126	3.322818515	1	1	1	3.322818515	1	1	1
7	3.678367042	1	1	3.402489514	3.678367042	1	1	1	3.678367042	1	1	1
8	4.11822306	1	1	3.80935633	4.11822306	1	1	1	4.11822306	1	1	1
9	4.667030296	1	1	4.317003024	4.667030296	1	1	1	4.667030296	1	1	1
10	5.328679866	1	1	4.929028876	5.328679866	1	1	1	5.328679866	1	1	1
11	6.104468808	1	1	5.646633647	6.104468808	1	1	1	6.104468808	1	1	1
12	7.026073727	1	1	6.499118197	7.026073727	1	1	1	7.026073727	1	1	1
13	8.067674694	1	1	7.462599092	8.067674694	1	1	1	8.067674694	1	1	1
14	9.198263626	1	1	8.508393854	9.198263626	1	1	1	9.198263626	1	1	1
15	10.38164429	1	1	9.603020966	10.38164429	1	1	1	10.38164429	1	1	1
16	11.5985735	1	1	10.72868048	11.5985735	1	1	1	11.5985735	1	1	1
17	12.82821093	1	1	11.86609511	12.82821093	1	1	1	12.82821093	1	1	1
18	13.98217185	1	1	12.93350896	13.98217185	1	1	1	13.98217185	1	1	1
19	15.08027929	1	1	13.94925835	15.08027929	1	1	1	15.08027929	1	1	1
20	16.1459473	1	1	14.93500125	16.1459473	1	1	1	16.1459473	1	1	1
21	17.19877511	1	1	15.90886697	17.19877511	1	1	1	17.19877511	1	1	1
22	18.24044756	1	1	16.87241399	18.24044756	1	1	1	18.24044756	1	1	1
23	19.37109725	1	1	17.91826496	19.37109725	1	1	1	19.37109725	1	1	1
24	20.63148515	1	1	19.08412376	20.63148515	1	1	1	20.63148515	1	1	1
25	22.00855824	1	1	20.35791637	22.00855824	1	1	1	22.00855824	1	1	1
26	23.49742894	1	1	21.73512177	23.49742894	1	1	1	23.49742894	1	1	1
27	25.10713966	1	1	23.22410419	25.10713966	1	1	1	25.10713966	1	1	1
28	26.85745842	1	1	24.84314904	26.85745842	1	1	1	26.85745842	1	1	1
