Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
1	30.55	1	1	24.44	30.55	1	1	1	30.55	1	1	1
2	37.9965625	1	1	30.39725	37.9965625	1	1	1	37.9965625	1	1	1
3	45.1547112	1	1	36.12376896	45.1547112	1	1	1	45.1547112	1	1	1
4	52.03550058	1	1	41.62840046	52.03550058	1	1	1	52.03550058	1	1	1
5	59.07773913	1	1	47.2621913	59.07773913	1	1	1	59.07773913	1	1	1
6	66.59642223	1	1	53.27713779	66.59642223	1	1	1	66.59642223	1	1	1
7	75.11037619	1	1	60.08830095	75.11037619	1	1	1	75.11037619	1	1	1
8	85.55722658	1	1	68.44578126	85.55722658	1	1	1	85.55722658	1	1	1
9	98.92685969	1	1	79.14148775	98.92685969	1	1	1	98.92685969	1	1	1
10	115.8230225	1	1	92.658418	115.8230225	1	1	1	115.8230225	1	1	1
11	136.8951754	1	1	109.5161404	136.8951754	1	1	1	136.8951754	1	1	1
12	162.2607949	1	1	129.8086359	162.2607949	1	1	1	162.2607949	1	1	1
13	191.3610021	1	1	153.0888017	191.3610021	1	1	1	191.3610021	1	1	1
14	222.87104	1	1	178.296832	222.87104	1	1	1	222.87104	1	1	1
15	255.1204394	1	1	204.0963516	255.1204394	1	1	1	255.1204394	1	1	1
16	286.3417041	1	1	229.0733633	286.3417041	1	1	1	286.3417041	1	1	1
17	315.5748748	1	1	252.4598998	315.5748748	1	1	1	315.5748748	1	1	1
18	343.7812326	1	1	275.0249861	343.7812326	1	1	1	343.7812326	1	1	1
19	372.2027269	1	1	297.7621815	372.2027269	1	1	1	372.2027269	1	1	1
20	402.3960481	1	1	321.9168385	402.3960481	1	1	1	402.3960481	1	1	1
21	435.6854831	1	1	348.5483865	435.6854831	1	1	1	435.6854831	1	1	1
22	472.0277628	1	1	377.6222102	472.0277628	1	1	1	472.0277628	1	1	1
23	510.9818348	1	1	408.7854678	510.9818348	1	1	1	510.9818348	1	1	1
24	551.9975034	1	1	441.5980027	551.9975034	1	1	1	551.9975034	1	1	1
