Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04238408	200	1.038759846	2	3	147.336594	0.062977371	0.062977371	200
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21611476	200	1.038759846	2	3	162.0702534	0.0734736	0.0734736	200
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38984544	200	1.038759846	2	3	176.8039129	0.083969829	0.083969829	200
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56357612	200	1.038759846	2	3	191.5375723	0.094466057	0.094466057	200
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7373068	200	1.038759846	2	3	206.2712317	0.104962286	0.104962286	200
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.017261399	300	1.038759846	2	3	221.0048911	0.126078837	0.126078837	300
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.321944596	300	1.038759846	2	3	235.7385505	0.149958922	0.149958922	300
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.712154248	300	1.038759846	2	3	250.4722099	0.180810283	0.180810283	300
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.094968954	300	1.038759846	2	3	265.2058693	0.212779116	0.212779116	300
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.466900617	300	1.038759846	2	3	286.9140695	0.245572127	0.245572127	300
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.896981921	650	1.038759846	2	3	312.558062	0.298362678	0.298362678	650
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.351925649	650	1.038759846	2	3	425.1225474	0.359033866	0.359033866	650
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.831731606	650	1.038759846	2	3	462.0548054	0.428312875	0.428312875	650
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.382016521	650	1.038759846	2	3	596.2085467	0.511291569	0.511291569	650
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.865929588	650	1.038759846	2	3	647.9774401	0.595758474	0.595758474	650
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.447103143	1500	1.038759846	2	3	708.5326851	0.698436174	0.698436174	1500
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.052046284	1500	1.038759846	2	3	918.5961064	0.813189087	0.813189087	1500
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.606378006	1500	1.038759846	2	3	989.2212646	0.931781306	0.931781306	1500
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.294898373	1500	1.038759846	2	3	1044.522572	1.077472737	1.077472737	1500
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.910359664	1500	1.038759846	2	3	1285.100433	1.225174454	1.225174454	1500
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.320952888	2000	1.585000396	2.560385256	3.413847008	1367.580796	1.354450967	1.354450967	2000
