Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
1	1	1	1	1
2	1	1	1	1
3	1	1	1	1
4	1	1	1	1
5	1	1	1	1
6	1	1	1	1
7	1	1	1	1
8	1	1	1	1
9	1	1	1	1
10	1	1	1	1
11	1	1	1	1
12	1	1	1	1
13	1	1	1	1
14	1	1	1	1
15	1	1	1	1
16	1	1	1	1
17	1	1	1	1
18	1	1	1	1
19	1	1	1	1
20	1	1	1	1
21	1	1	1	1
22	1	1	1	1
23	1	1	1	1
24	1	1	1	1
25	1	1	1	1
26	1	1	1	1
27	1	1	1	1
28	1	1	1	1
29	1	1	1	1
30	1	1	1	1
31	1	1	1	1
32	1	1	1	1
33	1	1	1	1
34	1	1	1	1
35	1	1	1	1
36	1	1	1	1
37	1	1	1	1
38	1	1	1	1
39	1	1	1	1
40	1	1	1	1
41	1	1	1	1
42	1	1	1	1
43	1	1	1	1
44	1	1	1	1
45	1	1	1	1
46	1	1	1	1
47	1	1	1	1
48	1	1	1	1
49	1	1	1	1
50	1	1	1	1
51	1	1	1	1
52	1	1	1	1
53	1	1	1	1
54	1	1	1	1
55	1	1	1	1
56	1	1	1	1
57	1	1	1	1
58	1	1	1	1
59	1	1	1	1
60	1	1	1	1
61	1	1	1	1
62	1	1	1	1
63	1	1	1	1
64	1	1	1	1
65	1	1	1	1
66	1	1	1	1
67	1	1	1	1
68	1	1	1	1
69	1	1	1	1
70	1	1	1	1
71	1	1	1	1
72	1	1	1	1
73	1	1	1	1
74	1	1	1	1
75	1	1	1	1
76	1	1	1	1
77	1	1	1	1
78	1	1	1	1
79	1	1	1	1
80	1	1	1	1
81	1	1	1	1
82	1	1	1	1
83	1	1	1	1
84	1	1	1	1
85	1	1	1	1
86	1	1	1	1
87	1	1	1	1
88	1	1	1	1
89	1	1	1	1
90	1	1	1	1
91	1	1	1	1
92	1	1	1	1
93	1	1	1	1
94	1	1	1	1
95	1	1	1	1
96	1	1	1	1
97	1	1	1	1
98	1	1	1	1
99	1	1	1	1
100	1	1	1	1
101	1	1	1	1
102	1	1	1	1
103	1	1	1	1
104	1	1	1	1
105	1	1	1	1
106	1	1	1	1
107	1	1	1	1
108	1	1	1	1
109	1	1	1	1
110	1	1	1	1
111	1	1	1	1
112	1	1	1	1
113	1	1	1	1
114	1	1	1	1
115	1	1	1	1
116	1	1	1	1
117	1	1	1	1
118	1	1	1	1
119	1	1	1	1
120	1	1	1	1
121	1	1	1	1
122	1	1	1	1
123	1	1	1	1
124	1	1	1	1
125	1	1	1	1
126	1	1	1	1
127	1	1	1	1
128	1	1	1	1
129	1	1	1	1
130	1	1	1	1
131	1	1	1	1
132	1	1	1	1
133	1	1	1	1
134	1	1	1	1
135	1	1	1	1
136	1	1	1	1
137	1	1	1	1
138	1	1	1	1
139	1	1	1	1
140	1	1	1	1
141	1	1	1	1
142	1	1	1	1
143	1	1	1	1
144	1	1	1	1
145	1	1	1	1
146	1	1	1	1
147	1	1	1	1
148	1	1	1	1
149	1	1	1	1
150	1	1	1	1
151	1	1	1	1
152	1	1	1	1
153	1	1	1	1
154	1	1	1	1
155	1	1	1	1
156	1	1	1	1
157	1	1	1	1
158	1	1	1	1
159	1	1	1	1
160	1	1	1	1
161	1	1	1	1
162	1	1	1	1
163	1	1	1	1
164	1	1	1	1
165	1	1	1	1
166	1	1	1	1
167	1	1	1	1
168	1	1	1	1
169	1	1	1	1
170	1.003741657	1.003741657	1.003741657	1.003741657
171	1.011224972	1.011224972	1.011224972	1.011224972
172	1.022449944	1.022449944	1.022449944	1.022449944
173	1.037416574	1.037416574	1.037416574	1.037416574
174	1.056124861	1.056124861	1.056124861	1.056124861
175	1.078574805	1.078574805	1.078574805	1.078574805
176	1.099208501	1.099208501	1.099208501	1.099208501
177	1.118025949	1.118025949	1.118025949	1.118025949
178	1.13502715	1.13502715	1.13502715	1.13502715
179	1.150212103	1.150212103	1.150212103	1.150212103
180	1.163580807	1.163580807	1.163580807	1.163580807
181	1.175133264	1.175133264	1.175133264	1.175133264
182	1.186351624	1.186351624	1.186351624	1.186351624
183	1.197235887	1.197235887	1.197235887	1.197235887
184	1.207786052	1.207786052	1.207786052	1.207786052
185	1.218002121	1.218002121	1.218002121	1.218002121
186	1.227884092	1.227884092	1.227884092	1.227884092
187	1.237431967	1.237431967	1.237431967	1.237431967
188	1.245388529	1.245388529	1.245388529	1.245388529
189	1.253547739	1.253547739	1.253547739	1.253547739
190	1.261909597	1.261909597	1.261909597	1.261909597
191	1.270474103	1.270474103	1.270474103	1.270474103
192	1.279241257	1.279241257	1.279241257	1.279241257
193	1.28821106	1.28821106	1.28821106	1.28821106
194	1.298974823	1.298974823	1.298974823	1.298974823
195	1.30943348	1.30943348	1.30943348	1.30943348
196	1.319587031	1.319587031	1.319587031	1.319587031
197	1.329435476	1.329435476	1.329435476	1.329435476
198	1.338978815	1.338978815	1.338978815	1.338978815
199	1.348217048	1.348217048	1.348217048	1.348217048
200	1.357150175	1.357150175	1.357150175	1.357150175
201	1.364594448	1.364594448	1.364594448	1.364594448
202	1.372235422	1.372235422	1.372235422	1.372235422
203	1.380073097	1.380073097	1.380073097	1.380073097
204	1.388107473	1.388107473	1.388107473	1.388107473
205	1.396338551	1.396338551	1.396338551	1.396338551
206	1.40476633	1.40476633	1.40476633	1.40476633
207	1.414879665	1.414879665	1.414879665	1.414879665
208	1.42471232	1.42471232	1.42471232	1.42471232
209	1.434264296	1.434264296	1.434264296	1.434264296
210	1.443535592	1.443535592	1.443535592	1.443535592
211	1.452526209	1.452526209	1.452526209	1.452526209
212	1.461236146	1.461236146	1.461236146	1.461236146
213	1.469665404	1.469665404	1.469665404	1.469665404
214	1.476689785	1.476689785	1.476689785	1.476689785
215	1.483906612	1.483906612	1.483906612	1.483906612
216	1.491315883	1.491315883	1.491315883	1.491315883
217	1.4989176	1.4989176	1.4989176	1.4989176
218	1.506711761	1.506711761	1.506711761	1.506711761
219	1.514698368	1.514698368	1.514698368	1.514698368
220	1.524282296	1.524282296	1.524282296	1.524282296
221	1.533605971	1.533605971	1.533605971	1.533605971
222	1.542669394	1.542669394	1.542669394	1.542669394
223	1.551472565	1.551472565	1.551472565	1.551472565
224	1.560015483	1.560015483	1.560015483	1.560015483
225	1.568298149	1.568298149	1.568298149	1.568298149
226	1.576320562	1.576320562	1.576320562	1.576320562
227	1.583005907	1.583005907	1.583005907	1.583005907
228	1.589880915	1.589880915	1.589880915	1.589880915
229	1.596945587	1.596945587	1.596945587	1.596945587
230	1.604199923	1.604199923	1.604199923	1.604199923
231	1.611643923	1.611643923	1.611643923	1.611643923
232	1.619277587	1.619277587	1.619277587	1.619277587
233	1.628437983	1.628437983	1.628437983	1.628437983
234	1.637355052	1.637355052	1.637355052	1.637355052
235	1.646028794	1.646028794	1.646028794	1.646028794
236	1.654459208	1.654459208	1.654459208	1.654459208
237	1.662646294	1.662646294	1.662646294	1.662646294
238	1.670590054	1.670590054	1.670590054	1.670590054
239	1.678290485	1.678290485	1.678290485	1.678290485
240	1.684707512	1.684707512	1.684707512	1.684707512
241	1.691312707	1.691312707	1.691312707	1.691312707
242	1.698106073	1.698106073	1.698106073	1.698106073
243	1.705087607	1.705087607	1.705087607	1.705087607
244	1.712257311	1.712257311	1.712257311	1.712257311
245	1.719615184	1.719615184	1.719615184	1.719615184
246	1.728444632	1.728444632	1.728444632	1.728444632
247	1.737044613	1.737044613	1.737044613	1.737044613
248	1.745415125	1.745415125	1.745415125	1.745415125
249	1.75355617	1.75355617	1.75355617	1.75355617
250	1.761467747	1.761467747	1.761467747	1.761467747
251	1.769149857	1.769149857	1.769149857	1.769149857
252	1.776602498	1.776602498	1.776602498	1.776602498
253	1.782813033	1.782813033	1.782813033	1.782813033
254	1.789211365	1.789211365	1.789211365	1.789211365
255	1.795797494	1.795797494	1.795797494	1.795797494
256	1.802571419	1.802571419	1.802571419	1.802571419
257	1.809533142	1.809533142	1.809533142	1.809533142
258	1.816682662	1.816682662	1.816682662	1.816682662
259	1.825262086	1.825262086	1.825262086	1.825262086
260	1.833623221	1.833623221	1.833623221	1.833623221
261	1.841766066	1.841766066	1.841766066	1.841766066
262	1.849690622	1.849690622	1.849690622	1.849690622
263	1.857396889	1.857396889	1.857396889	1.857396889
264	1.864884867	1.864884867	1.864884867	1.864884867
265	1.872154555	1.872154555	1.872154555	1.872154555
266	1.878212628	1.878212628	1.878212628	1.878212628
267	1.884459105	1.884459105	1.884459105	1.884459105
268	1.890893985	1.890893985	1.890893985	1.890893985
269	1.897517268	1.897517268	1.897517268	1.897517268
270	1.904328954	1.904328954	1.904328954	1.904328954
271	1.911329044	1.911329044	1.911329044	1.911329044
272	1.919729151	1.919729151	1.919729151	1.919729151
273	1.927919804	1.927919804	1.927919804	1.927919804
274	1.935901001	1.935901001	1.935901001	1.935901001
275	1.943672743	1.943672743	1.943672743	1.943672743
276	1.951235029	1.951235029	1.951235029	1.951235029
277	1.95858786	1.95858786	1.95858786	1.95858786
278	1.965731237	1.965731237	1.965731237	1.965731237
279	1.97168405	1.97168405	1.97168405	1.97168405
280	1.977826726	1.977826726	1.977826726	1.977826726
281	1.984159265	1.984159265	1.984159265	1.984159265
282	1.990681666	1.990681666	1.990681666	1.990681666
283	1.99739393	1.99739393	1.99739393	1.99739393
284	2.004296057	2.004296057	2.004296057	2.004296057
285	2.012578609	2.012578609	2.012578609	2.012578609
286	2.020658492	2.020658492	2.020658492	2.020658492
287	2.028535704	2.028535704	2.028535704	2.028535704
288	2.036210246	2.036210246	2.036210246	2.036210246
289	2.043682119	2.043682119	2.043682119	2.043682119
290	2.050951321	2.050951321	2.050951321	2.050951321
291	2.058017853	2.058017853	2.058017853	2.058017853
292	2.06390663	2.06390663	2.06390663	2.06390663
293	2.069987474	2.069987474	2.069987474	2.069987474
294	2.076260384	2.076260384	2.076260384	2.076260384
295	2.08272536	2.08272536	2.08272536	2.08272536
296	2.089382403	2.089382403	2.089382403	2.089382403
297	2.096231512	2.096231512	2.096231512	2.096231512
298	2.104450443	2.104450443	2.104450443	2.104450443
299	2.1124717	2.1124717	2.1124717	2.1124717
300	2.120295282	2.120295282	2.120295282	2.120295282
301	2.12792119	2.12792119	2.12792119	2.12792119
302	2.135349424	2.135349424	2.135349424	2.135349424
303	2.142579983	2.142579983	2.142579983	2.142579983
304	2.149612867	2.149612867	2.149612867	2.149612867
305	2.155473604	2.155473604	2.155473604	2.155473604
306	2.161529261	2.161529261	2.161529261	2.161529261
307	2.167275971	2.167275971	2.167275971	2.167275971
308	2.17221399	2.17221399	2.17221399	2.17221399
309	2.175847665	2.175847665	2.175847665	2.175847665
310	2.177685399	2.177685399	2.177685399	2.177685399
311	2.178411767	2.178411767	2.178411767	2.178411767
312	2.174809049	2.174809049	2.174809049	2.174809049
313	2.167405356	2.167405356	2.167405356	2.167405356
314	2.156724472	2.156724472	2.156724472	2.156724472
315	2.143702065	2.143702065	2.143702065	2.143702065
316	2.130758289	2.130758289	2.130758289	2.130758289
317	2.117892668	2.117892668	2.117892668	2.117892668
318	2.10510473	2.10510473	2.10510473	2.10510473
319	2.092394007	2.092394007	2.092394007	2.092394007
320	2.079760031	2.079760031	2.079760031	2.079760031
321	2.06720234	2.06720234	2.06720234	2.06720234
322	2.054720473	2.054720473	2.054720473	2.054720473
323	2.042313972	2.042313972	2.042313972	2.042313972
324	2.029982382	2.029982382	2.029982382	2.029982382
325	2.01772525	2.01772525	2.01772525	2.01772525
326	2.005542128	2.005542128	2.005542128	2.005542128
327	1.993432568	1.993432568	1.993432568	1.993432568
328	1.981396127	1.981396127	1.981396127	1.981396127
329	1.969432361	1.969432361	1.969432361	1.969432361
330	1.957540834	1.957540834	1.957540834	1.957540834
331	1.945721108	1.945721108	1.945721108	1.945721108
332	1.933972751	1.933972751	1.933972751	1.933972751
333	1.92229533	1.92229533	1.92229533	1.92229533
334	1.910688419	1.910688419	1.910688419	1.910688419
335	1.89915159	1.89915159	1.89915159	1.89915159
336	1.887684421	1.887684421	1.887684421	1.887684421
337	1.876286492	1.876286492	1.876286492	1.876286492
338	1.864957384	1.864957384	1.864957384	1.864957384
339	1.853696681	1.853696681	1.853696681	1.853696681
340	1.842503972	1.842503972	1.842503972	1.842503972
341	1.831378844	1.831378844	1.831378844	1.831378844
342	1.82032089	1.82032089	1.82032089	1.82032089
343	1.809329705	1.809329705	1.809329705	1.809329705
344	1.798404886	1.798404886	1.798404886	1.798404886
345	1.78754603	1.78754603	1.78754603	1.78754603
346	1.776752741	1.776752741	1.776752741	1.776752741
347	1.766024623	1.766024623	1.766024623	1.766024623
348	1.755361281	1.755361281	1.755361281	1.755361281
349	1.756311515	1.756311515	1.756311515	1.756311515
350	1.763469672	1.763469672	1.763469672	1.763469672
351	1.771336958	1.771336958	1.771336958	1.771336958
352	1.779913374	1.779913374	1.779913374	1.779913374
353	1.790205073	1.790205073	1.790205073	1.790205073
354	1.800209824	1.800209824	1.800209824	1.800209824
355	1.809927627	1.809927627	1.809927627	1.809927627
356	1.819358483	1.819358483	1.819358483	1.819358483
357	1.82850239	1.82850239	1.82850239	1.82850239
358	1.838292104	1.838292104	1.838292104	1.838292104
359	1.848727623	1.848727623	1.848727623	1.848727623
360	1.858667561	1.858667561	1.858667561	1.858667561
361	1.868111917	1.868111917	1.868111917	1.868111917
362	1.877060692	1.877060692	1.877060692	1.877060692
363	1.885513886	1.885513886	1.885513886	1.885513886
364	1.8929786	1.8929786	1.8929786	1.8929786
365	1.899454834	1.899454834	1.899454834	1.899454834
366	1.906370924	1.906370924	1.906370924	1.906370924
367	1.91372687	1.91372687	1.91372687	1.91372687
368	1.921522672	1.921522672	1.921522672	1.921522672
369	1.92975833	1.92975833	1.92975833	1.92975833
370	1.936621378	1.936621378	1.936621378	1.936621378
371	1.943677036	1.943677036	1.943677036	1.943677036
372	1.950925306	1.950925306	1.950925306	1.950925306
373	1.958366186	1.958366186	1.958366186	1.958366186
374	1.965999677	1.965999677	1.965999677	1.965999677
375	1.973825779	1.973825779	1.973825779	1.973825779
376	1.983217101	1.983217101	1.983217101	1.983217101
377	1.992357491	1.992357491	1.992357491	1.992357491
378	2.001246948	2.001246948	2.001246948	2.001246948
379	2.009885472	2.009885472	2.009885472	2.009885472
380	2.018273065	2.018273065	2.018273065	2.018273065
381	2.026409724	2.026409724	2.026409724	2.026409724
382	2.034295451	2.034295451	2.034295451	2.034295451
383	2.040866891	2.040866891	2.040866891	2.040866891
384	2.047629688	2.047629688	2.047629688	2.047629688
385	2.054583842	2.054583842	2.054583842	2.054583842
386	2.061729354	2.061729354	2.061729354	2.061729354
387	2.069066223	2.069066223	2.069066223	2.069066223
388	2.07659445	2.07659445	2.07659445	2.07659445
389	2.085628322	2.085628322	2.085628322	2.085628322
390	2.09442655	2.09442655	2.09442655	2.09442655
391	2.102989136	2.102989136	2.102989136	2.102989136
392	2.111316078	2.111316078	2.111316078	2.111316078
393	2.119407376	2.119407376	2.119407376	2.119407376
394	2.127263031	2.127263031	2.127263031	2.127263031
395	2.134883043	2.134883043	2.134883043	2.134883043
396	2.141233053	2.141233053	2.141233053	2.141233053
397	2.147774397	2.147774397	2.147774397	2.147774397
398	2.154507076	2.154507076	2.154507076	2.154507076
399	2.161431089	2.161431089	2.161431089	2.161431089
400	2.168546437	2.168546437	2.168546437	2.168546437
401	2.17585312	2.17585312	2.17585312	2.17585312
402	2.184621139	2.184621139	2.184621139	2.184621139
403	2.193165733	2.193165733	2.193165733	2.193165733
404	2.201486901	2.201486901	2.201486901	2.201486901
405	2.209584644	2.209584644	2.209584644	2.209584644
406	2.217458962	2.217458962	2.217458962	2.217458962
407	2.225109855	2.225109855	2.225109855	2.225109855
408	2.232537322	2.232537322	2.232537322	2.232537322
409	2.238726878	2.238726878	2.238726878	2.238726878
410	2.245108809	2.245108809	2.245108809	2.245108809
411	2.251683116	2.251683116	2.251683116	2.251683116
412	2.258449798	2.258449798	2.258449798	2.258449798
413	2.265408855	2.265408855	2.265408855	2.265408855
414	2.272560287	2.272560287	2.272560287	2.272560287
415	2.281142006	2.281142006	2.281142006	2.281142006
416	2.289509846	2.289509846	2.289509846	2.289509846
417	2.297663808	2.297663808	2.297663808	2.297663808
418	2.305603891	2.305603891	2.305603891	2.305603891
419	2.313330095	2.313330095	2.313330095	2.313330095
420	2.320842421	2.320842421	2.320842421	2.320842421
421	2.328140868	2.328140868	2.328140868	2.328140868
422	2.334222908	2.334222908	2.334222908	2.334222908
423	2.340499282	2.340499282	2.340499282	2.340499282
424	2.346969991	2.346969991	2.346969991	2.346969991
425	2.353635035	2.353635035	2.353635035	2.353635035
426	2.360494414	2.360494414	2.360494414	2.360494414
427	2.367548129	2.367548129	2.367548129	2.367548129
428	2.376012585	2.376012585	2.376012585	2.376012585
429	2.384270388	2.384270388	2.384270388	2.384270388
430	2.392321538	2.392321538	2.392321538	2.392321538
431	2.400166033	2.400166033	2.400166033	2.400166033
432	2.407803875	2.407803875	2.407803875	2.407803875
433	2.415235063	2.415235063	2.415235063	2.415235063
434	2.422459597	2.422459597	2.422459597	2.422459597
435	2.428480042	2.428480042	2.428480042	2.428480042
436	2.434697575	2.434697575	2.434697575	2.434697575
437	2.441112196	2.441112196	2.441112196	2.441112196
438	2.447723905	2.447723905	2.447723905	2.447723905
439	2.454532703	2.454532703	2.454532703	2.454532703
440	2.461538588	2.461538588	2.461538588	2.461538588
