Level	Total	PerKill	Junk	Stats	Divisor
1	250	20	0	0	1
2	590	25	0	0	1
3	1065	30	0	0	1
4	1675	35	0	0	1
5	2420	40	0	0	1
6	3305	45	0	0	1
7	4325	50	0	0	1
8	5485	55	0	0	1
9	6775	60	0	0	1
10	8205	65	0	0	1
11	9765	70	0	0	1
12	11030	75	0	0	1
13	12360	80	0	0	1
14	13755	85	0	0	1
15	15220	90	0	0	1
16	16750	95	0	0	1
17	18345	100	0	0	1
18	20005	105	0	0	1
19	21730	110	0	0	1
20	23525	115	0	0	1
21	25385	120	0	0	1
22	27310	125	0	0	1
23	29305	130	0	0	1
24	31365	135	0	0	1
25	33490	140	0	0	1
26	35680	145	0	0	1
27	37935	150	0	0	1
28	40260	155	0	0	1
29	42650	160	0	0	1
30	45105	165	0	0	1
31	45590	170	0	0	1
32	46005	175	0	0	1
33	46360	180	0	0	1
34	46655	185	0	0	1
35	46880	190	0	0	1
36	47045	195	0	0	1
37	47145	200	0	0	1
38	47185	205	0	0	1
39	47160	210	0	0	1
40	47070	215	0	0	1
41	46915	220	0	0	1
42	46700	225	0	0	1
43	46420	230	0	0	1
44	46075	235	0	0	1
45	45670	240	0	0	1
46	45200	245	0	0	1
47	44670	250	0	0	1
48	44070	255	0	0	1
49	43410	260	0	0	1
50	42690	265	0	0	1
51	47565	270	0	0	1
52	52600	275	0	0	1
53	57785	280	0	0	1
54	63135	285	0	0	1
55	68635	290	0	0	1
56	74295	295	0	0	1
57	80110	300	0	0	1
58	86085	305	0	0	1
59	92215	310	0	0	1
60	194815	350	0	0	1
61	214540	355	0	0	9
62	234805	360	0	0	9
63	255610	365	0	0	9
64	276945	370	0	0	9
65	298820	375	0	0	9
66	321235	380	0	0	9
67	344185	385	0	0	9
68	367675	390	0	0	9
69	391700	395	0	0	9
70	99999999	430	0	0	9
71	99999999	435	0	0	99
72	99999999	440	0	0	99
73	99999999	445	0	0	99
74	99999999	450	0	0	99
75	99999999	455	0	0	99
76	99999999	460	0	0	99
77	99999999	465	0	0	99
78	99999999	470	0	0	99
79	99999999	475	0	0	99
80	99999999	480	0	0	99
81	99999999	485	0	0	99
82	99999999	490	0	0	99
83	99999999	495	0	0	99
84	99999999	500	0	0	99
85	99999999	505	0	0	99
86	99999999	510	0	0	99
87	99999999	515	0	0	99
88	99999999	520	0	0	99
89	99999999	525	0	0	99
90	99999999	530	0	0	99
91	99999999	535	0	0	99
92	99999999	540	0	0	99
93	99999999	545	0	0	99
94	99999999	550	0	0	99
95	99999999	555	0	0	99
96	99999999	560	0	0	99
97	99999999	565	0	0	99
98	99999999	570	0	0	99
99	99999999	575	0	0	99
100	99999999	580	0	0	99
101	99999999	585	0	0	99
102	99999999	590	0	0	99
103	99999999	595	0	0	99
104	99999999	600	0	0	99
105	99999999	605	0	0	99
106	99999999	610	0	0	99
107	99999999	615	0	0	99
108	99999999	620	0	0	99
109	99999999	625	0	0	99
110	99999999	630	0	0	99
111	99999999	635	0	0	99
112	99999999	640	0	0	99
113	99999999	645	0	0	99
114	99999999	650	0	0	99
115	99999999	655	0	0	99
116	99999999	660	0	0	99
117	99999999	665	0	0	99
118	99999999	670	0	0	99
119	99999999	675	0	0	99
120	99999999	680	0	0	99
121	99999999	685	0	0	99
122	99999999	690	0	0	99
123	99999999	695	0	0	99
